Recinto,CA,EC,EA,OR,CA-EC,EA-OR,Estilo
Paraiso,15,15,19,12,0,7,ACOMODADOR
Paraiso,16,17,18,19,-1,-1,DIVERGENTE
Paraiso,15,13,17,17,2,0,DIVERGENTE
Turrialba,19,13,13,20,6,-7,ASIMILADOR
Turrialba,19,11,14,17,8,-3,ASIMILADOR
Turrialba,18,12,21,14,6,7,CONVERGENTE
Paraiso,11,19,16,16,-8,0,DIVERGENTE
Paraiso,19,14,19,18,5,1,ASIMILADOR
Paraiso,16,17,16,15,-1,1,DIVERGENTE
Paraiso,19,11,19,17,8,2,ASIMILADOR
Turrialba,19,16,13,16,3,-3,ASIMILADOR
Paraiso,13,14,21,13,-1,8,ACOMODADOR
Paraiso,21,14,12,18,7,-6,ASIMILADOR
Paraiso,16,15,18,19,1,-1,DIVERGENTE
Paraiso,18,10,22,13,8,9,CONVERGENTE
Turrialba,17,15,13,18,2,-5,DIVERGENTE
Paraiso,15,17,19,15,-2,4,ACOMODADOR
Turrialba,20,15,15,12,5,3,CONVERGENTE
Turrialba,17,15,15,17,2,-2,DIVERGENTE
Turrialba,12,17,12,21,-5,-9,DIVERGENTE
Paraiso,21,10,11,23,11,-12,ASIMILADOR
Paraiso,17,13,19,14,4,5,CONVERGENTE
Turrialba,11,15,20,16,-4,4,ACOMODADOR
Turrialba,13,15,22,13,-2,9,ACOMODADOR
Paraiso,17,13,16,15,4,1,ASIMILADOR
Paraiso,17,13,21,14,4,7,CONVERGENTE
Paraiso,15,16,13,17,-1,-4,DIVERGENTE
Paraiso,16,11,20,12,5,8,CONVERGENTE
Turrialba,14,15,15,17,-1,-2,DIVERGENTE
Paraiso,18,11,21,18,7,3,CONVERGENTE
Turrialba,14,11,18,15,3,3,CONVERGENTE
Turrialba,16,17,14,21,-1,-7,DIVERGENTE
Turrialba,17,13,22,11,4,11,CONVERGENTE
Paraiso,16,15,18,15,1,3,ACOMODADOR
Paraiso,19,18,20,11,1,9,ACOMODADOR
Turrialba,12,15,16,18,-3,-2,DIVERGENTE
Turrialba,9,21,18,17,-12,1,DIVERGENTE
Paraiso,18,11,17,14,7,3,CONVERGENTE
Paraiso,10,17,17,17,-7,0,DIVERGENTE
Paraiso,16,14,19,14,2,5,ACOMODADOR
Turrialba,19,12,18,15,7,3,CONVERGENTE
Paraiso,17,13,20,13,4,7,CONVERGENTE
Turrialba,17,14,16,18,3,-2,ASIMILADOR
Turrialba,20,13,11,19,7,-8,ASIMILADOR
Paraiso,10,15,16,19,-5,-3,DIVERGENTE
Paraiso,20,12,18,12,8,6,CONVERGENTE
Paraiso,19,17,15,18,2,-3,DIVERGENTE
Turrialba,16,12,14,19,4,-5,ASIMILADOR
Turrialba,17,13,16,15,4,1,ASIMILADOR
Paraiso,15,12,14,23,3,-9,ASIMILADOR
Turrialba,11,16,17,19,-5,-2,DIVERGENTE
Turrialba,17,12,21,15,5,6,CONVERGENTE
Turrialba,19,14,21,9,5,12,CONVERGENTE
Turrialba,15,14,17,15,1,2,DIVERGENTE
Turrialba,20,10,18,12,10,6,CONVERGENTE
Turrialba,14,18,13,14,-4,-1,DIVERGENTE
Paraiso,15,16,12,20,-1,-8,DIVERGENTE
Paraiso,18,14,13,17,4,-4,ASIMILADOR
Turrialba,18,14,17,18,4,-1,ASIMILADOR
Turrialba,17,14,12,18,3,-6,ASIMILADOR
Paraiso,19,8,12,21,11,-9,ASIMILADOR
Paraiso,20,15,15,15,5,0,ASIMILADOR
Paraiso,7,19,19,15,-12,4,ACOMODADOR
Turrialba,19,11,21,12,8,9,CONVERGENTE
Paraiso,21,10,20,10,11,10,CONVERGENTE
Paraiso,14,9,24,14,5,10,CONVERGENTE
Turrialba,17,14,18,14,3,4,CONVERGENTE
Turrialba,12,15,18,14,-3,4,ACOMODADOR
Turrialba,17,13,17,16,4,1,ASIMILADOR
Paraiso,17,11,18,18,6,0,ASIMILADOR
Turrialba,14,14,20,13,0,7,ACOMODADOR
Turrialba,14,16,20,13,-2,7,ACOMODADOR
Turrialba,17,13,20,16,4,4,CONVERGENTE
Turrialba,13,14,16,15,-1,1,DIVERGENTE
Paraiso,18,12,17,16,6,1,ASIMILADOR
Turrialba,14,16,19,15,-2,4,ACOMODADOR
Turrialba,11,15,18,14,-4,4,ACOMODADOR
Turrialba,17,14,20,15,3,5,CONVERGENTE
Paraiso,16,11,14,19,5,-5,ASIMILADOR
Paraiso,17,12,18,14,5,4,CONVERGENTE
Paraiso,20,14,19,10,6,9,CONVERGENTE
Paraiso,16,16,20,10,0,10,ACOMODADOR
Paraiso,15,13,19,14,2,5,ACOMODADOR
Paraiso,14,14,17,14,0,3,ACOMODADOR
Paraiso,20,13,14,12,7,2,ASIMILADOR
Paraiso,22,10,18,12,12,6,CONVERGENTE
Paraiso,15,15,17,18,0,-1,DIVERGENTE
Paraiso,17,13,19,14,4,5,CONVERGENTE
Paraiso,16,17,13,23,-1,-10,DIVERGENTE
