A,B,C,D,E,F,G,H,Class
3,F,I,1,ND,A,N,S,Beginner
3,NA,I,2,DM,H,S,S,Beginner
3,M,B,2,ND,L,N,S,Beginner
3,M,I,1,DM,A,S,N,Beginner
3,F,B,2,DM,A,S,O,Beginner
3,NA,I,3,DM,L,O,N,Beginner
3,M,B,1,DM,A,O,N,Beginner
3,F,B,3,O,L,O,O,Beginner
3,F,I,1,ND,H,O,S,Beginner
1,M,I,3,ND,H,S,S,Intermediate
1,NA,I,1,O,H,N,O,Intermediate
1,NA,B,2,O,A,O,N,Intermediate
1,M,B,3,ND,A,O,O,Intermediate
1,NA,B,3,O,H,O,S,Intermediate
1,N,A,1,O,A,S,O,Intermediate
2,F,I,3,O,H,S,O,Advanced
2,NA,I,2,ND,L,N,S,Advanced
2,F,A,3,DM,L,O,N,Advanced
2,F,A,1,O,H,S,S,Advanced
2,M,I,2,ND,H,S,S,Advanced
