Id,Reliability (R),Number of links (L),Capacity (Ca),Costo (Co),Class
1,2,7,High,High,A
2,2,16,High,High,A
3,2,9,Medium,High,A
4,2,14,Medium,High,A
5,2,11,Medium,Low,A
6,2,12,Medium,Low,A
7,2,10,Medium,Medium,A
8,2,13,Medium,Medium,A
9,3,15,High,High,A
10,3,17,Low,Low,A
11,3,18,Low,Low,A
12,3,15,Medium,High,A
13,3,16,Medium,High,A
14,3,11,Medium,Low,A
15,3,13,Medium,Low,A
16,3,17,Medium,Medium,A
17,5,19,High,Medium,B
18,4,18,High,High,B
19,5,19,High,High,B
20,5,18,Medium,High,B
21,4,18,Medium,High,B
22,4,18,Medium,High,B
23,4,19,Medium,High,B
24,4,19,High,Medium,B
25,5,18,Medium,High,B
26,4,19,Medium,High,B
27,4,19,High,High,B
28,4,19,High,High,B
29,4,18,High,High,B
30,5,19,High,Medium,B
31,4,19,High,High,B
32,4,19,Medium,High,B
33,4,17,High,High,B
34,5,20,High,High,B
35,4,18,Medium,High,B
